日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
2020/7/10,自營商,279018,50740,281699,55567,-2681,-4827,229337,61525,249630,43396,-20293,18129
2020/7/10,投信,9110,19369,9664,21628,-554,-2259,8735,12148,39821,88888,-31086,-76740
2020/7/10,外資及陸資,336510,278338,328732,265434,7778,12904,226234,188683,229752,102715,-3518,85968
2020/7/13,自營商,264430,48381,256262,43832,8168,4549,252073,67723,264076,44647,-12003,23076
2020/7/13,投信,22300,50773,21557,48404,743,2369,8818,12472,39161,88190,-30343,-75718
2020/7/13,外資及陸資,314691,260176,325232,273752,-10541,-13576,222845,179721,236925,106039,-14080,73682
2020/7/14,自營商,343318,75788,351755,73072,-8437,2716,270931,71377,291328,45481,-20397,25896
2020/7/14,投信,16261,31017,16283,30840,-22,177,9004,12821,39369,88362,-30365,-75541
2020/7/14,外資及陸資,434833,349033,444992,355140,-10159,-6107,224475,176578,245714,109047,-21239,67531
2020/7/15,自營商,484750,67229,455063,69684,29687,-2455,142119,51276,161316,35198,-19197,16078
2020/7/15,投信,1367,970,307,578,1060,392,10101,13351,39406,88851,-29305,-75500
2020/7/15,外資及陸資,480949,264021,477806,268346,3143,-4325,128532,146482,140915,89640,-12383,56842
2020/7/16,自營商,219367,40391,241729,36670,-22362,3721,160224,55615,201568,35887,-41344,19728
2020/7/16,投信,209,485,1266,3042,-1057,-2557,10281,13679,40643,91405,-30362,-77726
2020/7/16,外資及陸資,278862,237722,284369,244068,-5507,-6346,138936,144602,156868,94293,-17932,50309
2020/7/17,自營商,244396,35711,229860,37244,14536,-1533,185311,58017,212036,39713,-26725,18304
2020/7/17,投信,282,674,16,9,266,665,10528,14318,40628,91467,-30100,-77149
2020/7/17,外資及陸資,270551,219267,267022,213147,3529,6120,147907,149237,162316,92810,-14409,56427
2020/7/20,自營商,242874,35991,251052,31909,-8178,4082,199578,61659,234427,39300,-34849,22359
2020/7/20,投信,77,123,365,869,-288,-746,10240,13577,40628,91421,-30388,-77844
2020/7/20,外資及陸資,290118,204960,290290,203549,-172,1411,155469,152236,170065,94404,-14596,57832
2020/7/21,自營商,426214,53546,407779,52599,18435,947,230686,66853,246972,42977,-16286,23876
2020/7/21,投信,1290,3169,714,1020,576,2149,10135,13598,39947,90943,-29812,-77345
2020/7/21,外資及陸資,339528,205704,335053,207228,4475,-1524,172621,167478,182739,110075,-10118,57403
2020/7/22,自營商,412764,45187,407002,48799,5762,-3612,170223,60202,199989,39792,-29766,20410
2020/7/22,投信,530,1185,693,1585,-163,-400,10403,14301,40378,92321,-29975,-78020
2020/7/22,外資及陸資,361151,193167,377077,200275,-15926,-7108,156911,167948,186185,117610,-29274,50338
2020/7/23,自營商,219780,49211,245275,41498,-25495,7713,187954,66970,243129,38840,-55175,28130
2020/7/23,投信,15,35,1273,3127,-1258,-3092,10413,14281,41646,95107,-31233,-80826
